"","id","product","c_q_scl_powder_overall_liking","c_q_scl_powder_appearance_liking","c_q_scl_powder_aroma_liking","c_q_cata_powder_easy_to_prepare","c_q_cata_powder_dissolve_quickly","c_q_cata_powder_lumps","c_q_cata_powder_foamy","c_q_cata_powder_mild","c_q_cata_powder_milky","c_q_cata_powder_sweet","c_q_cata_powder_off_notes","c_q_cata_powder_nondairy_notes","c_q_cata_powder_natural_color","c_q_cata_powder_easy_scoop","c_q_scl_milk_preparation_liking","c_q_scl_milk_pretaste_appearance_liking","c_q_scl_milk_pretaste_overall_liking","c_q_scl_milk_posttaste_aroma_liking","c_q_scl_milk_posttaste_taste_liking","c_q_cata_milk_easy_prepare","c_q_cata_milk_easy_dissolve","c_q_cata_milk_lumps","c_q_cata_milk_low_foam","c_q_cata_milk_milk","c_q_cata_milk_milky","c_q_cata_milk_sweet","c_q_cata_milk_dairy_off_notes","c_q_cata_milk_smooth","c_q_cata_milk_natural_color","c_q_cata_milk_residue_bottle","c_q_scl_empty_bottle_appearance_liking","c_q_scl_empty_bottle_aroma_liking","c_q_scl_empty_bottle_overall_liking","c_s_organic","c_s_location","t_s_gender","c_s_age_group","c_s_brand_use","c_s_parent_type","c_s_child_age","c_s_child_gender","c_s_relationship","c_s_responsible_primary_care","c_s_responsible_purchase_product_child","c_s_breastfed","c_s_breastmilk_in_bottle","c_s_breastfed_duration","c_s_format","c_s_given_brand","c_s_current_brand","c_s_brand_reason","c_s_working_status","c_s_social"
"26",1026,"Profutura EU",5,6,5,2,1,1,1,1,2,1,1,1,1,1,7,6,6,5,6,1,1,1,1,1,1,1,1,2,2,1,6,8,6,1,1,2,2,1,1,3,2,1,3,3,2,2,0,1,"15",15,0,1,1
"27",1027,"Profutura EU",8,8,7,1,1,2,2,1,1,1,2,1,1,1,8,8,7,7,7,1,1,1,1,2,1,1,2,1,1,1,7,7,7,2,1,1,1,2,1,5,2,2,3,3,2,2,0,1,"16",16,0,1,2
"28",1028,"Profutura EU",9,9,9,1,1,2,2,2,1,1,2,2,1,1,9,9,9,9,10,1,1,1,2,2,1,1,2,1,1,2,9,10,10,1,1,2,4,2,2,11,2,1,3,3,1,1,2,2,"19",19,0,1,1
"29",1029,"Profutura EU",10,10,10,2,2,1,1,1,1,2,2,2,1,2,6,6,5,7,5,2,2,2,2,2,2,2,2,2,1,2,5,5,5,1,1,1,1,1,2,8,2,1,3,3,2,2,0,2,"15",15,0,2,2
"30",1030,"Profutura EU",8,8,9,1,1,2,2,1,1,1,2,2,2,1,9,8,8,8,8,1,1,1,1,1,1,2,2,1,1,2,8,9,8,1,1,2,4,2,2,11,2,1,2,2,1,1,2,2,"19",19,0,2,2
"31",1031,"Profutura EU",4,4,7,2,2,1,1,1,2,2,1,1,2,2,7,8,6,5,8,2,1,1,1,1,2,2,2,1,1,2,7,5,6,1,1,2,1,1,2,12,1,1,1,1,2,2,0,2,"2",2,0,4,2
"32",1032,"Profutura EU",9,10,10,1,1,2,1,1,1,1,1,2,1,1,10,10,10,10,10,1,1,1,1,1,1,1,2,1,1,2,10,10,10,1,1,2,4,1,2,10,2,1,1,1,1,1,2,2,"1",1,0,2,1
"33",1033,"Profutura EU",8,9,7,1,1,2,1,2,1,1,1,1,1,1,8,9,9,7,10,1,1,1,1,2,1,1,1,1,1,1,9,9,10,1,1,1,4,2,1,11,1,2,3,3,2,2,0,1,"19",19,0,1,2
"34",1034,"Profutura EU",7,4,6,2,1,2,1,1,1,2,1,1,1,1,7,9,7,9,10,1,1,1,1,1,1,2,1,1,1,1,10,10,10,1,1,2,3,1,1,10,1,1,3,3,2,2,0,1,"15 19",15,0,2,2
"35",1035,"Profutura EU",7,7,6,1,2,1,1,1,1,2,2,1,1,1,7,7,7,8,9,1,1,1,2,1,1,1,2,1,1,1,6,8,8,1,1,2,3,2,2,7,1,1,1,1,1,2,2,2,"19",19,0,2,2
"36",1036,"Profutura EU",10,9,9,1,2,2,1,2,1,1,2,2,1,1,9,9,9,9,9,1,1,2,2,1,1,1,2,1,1,2,10,10,10,1,1,1,1,2,1,6,1,2,3,3,2,2,0,1,"19",19,0,2,2
"37",1037,"Profutura EU",10,10,4,1,1,1,1,1,1,1,1,1,1,1,8,9,8,8,9,2,2,2,2,2,2,2,2,2,2,2,8,8,8,1,1,2,3,1,2,7,1,1,1,1,2,2,0,2,"1 2 20",2,0,4,2
"38",1038,"Profutura EU",8,8,5,1,1,2,2,1,1,2,1,1,1,1,9,9,8,8,10,1,1,1,1,1,1,2,2,1,1,1,9,9,10,1,1,1,3,2,2,5,2,2,3,3,2,2,0,2,"19",19,0,3,2
"39",1039,"Profutura EU",8,8,8,1,1,1,1,1,1,1,1,1,1,1,9,9,9,8,7,1,1,1,1,1,1,1,2,1,1,2,10,9,10,1,1,2,3,1,1,4,2,1,2,2,2,2,0,1,"15",15,0,2,1
"40",1040,"Profutura EU",3,4,4,1,1,1,1,1,1,1,2,1,1,1,4,5,4,4,5,1,1,1,1,1,1,1,1,1,1,1,5,4,4,1,1,2,2,1,1,12,2,1,2,2,2,2,0,2,"15",15,0,2,2
"41",1041,"Profutura EU",5,5,7,1,2,1,1,1,1,1,2,1,1,1,10,9,8,9,10,1,1,1,2,2,1,1,2,1,1,2,10,10,9,1,1,2,1,1,1,6,2,1,2,2,2,2,0,1,"1",1,0,3,1
"42",1042,"Profutura EU",5,7,6,1,1,1,1,1,1,1,2,1,1,1,8,7,9,7,6,1,1,1,1,1,1,1,1,1,1,1,5,5,8,1,1,2,4,2,2,12,1,1,1,1,2,2,0,1,"15 21",21,0,2,2
"43",1043,"Profutura EU",6,6,8,1,2,2,2,2,1,2,2,2,1,1,9,7,8,9,10,1,1,2,2,1,1,1,2,1,1,2,9,10,10,1,1,2,1,1,2,11,1,1,1,1,2,2,0,2,"15",15,0,3,2
"44",1044,"Profutura EU",10,10,10,1,1,2,1,1,1,1,1,1,1,1,8,8,10,10,10,1,1,1,1,1,1,1,1,1,1,2,10,10,10,1,1,2,2,1,2,6,2,1,1,1,2,2,0,1,"15",15,0,2,1
"45",1045,"Profutura EU",7,5,6,1,1,2,1,1,1,1,1,1,1,1,6,7,6,7,6,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,2,2,1,1,11,2,1,1,3,1,1,3,1,"1",1,0,1,1
"46",1046,"Profutura EU",6,6,5,1,1,2,1,1,1,2,2,1,1,1,7,6,5,7,6,1,2,1,1,1,1,2,2,1,1,1,6,5,6,1,1,2,2,2,1,10,1,1,3,1,1,1,2,1,"19",19,0,4,2
"47",1047,"Profutura EU",5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,1,2,3,1,2,6,2,1,1,1,1,2,2,1,"2",2,0,3,2
"48",1048,"Profutura EU",9,9,9,1,1,1,1,1,1,1,1,1,1,1,9,8,9,9,9,1,1,1,1,1,1,1,1,1,1,1,9,9,9,2,1,2,4,2,2,11,1,1,3,3,2,2,0,1,"16",16,0,1,1
"49",1049,"Profutura EU",5,5,5,1,1,1,1,2,1,1,2,2,1,1,5,6,5,3,4,1,1,1,1,2,1,1,2,1,1,2,5,4,4,1,1,2,1,1,1,5,2,1,1,2,1,2,1,1,"1",1,0,3,1
"50",1050,"Profutura EU",5,5,7,1,2,1,2,1,1,1,2,2,1,1,6,6,6,7,7,1,1,1,1,1,1,1,2,1,1,1,7,8,7,1,1,2,2,1,2,6,2,1,1,1,2,2,0,1,"15",15,0,3,2
"51",1051,"Profutura EU",5,6,6,1,1,2,1,2,2,1,2,2,2,1,8,7,8,6,8,1,1,2,1,2,1,1,2,1,2,2,9,8,8,1,1,2,1,1,2,2,2,1,1,1,2,2,0,2,"2",2,0,3,1
"52",1052,"Profutura EU",6,5,8,1,1,2,1,1,1,2,1,1,1,1,7,7,7,5,6,1,1,1,2,1,1,1,1,1,1,1,7,7,6,1,1,2,3,1,1,5,1,1,1,1,2,2,0,2,"15",15,0,1,1
"53",1053,"Profutura EU",5,5,4,1,2,1,1,1,1,2,1,2,2,1,6,4,4,5,5,1,1,1,1,1,1,1,1,1,1,1,4,3,6,1,1,2,3,1,1,8,2,1,1,2,2,2,0,1,"15",15,0,2,1
"54",1055,"Profutura EU",8,7,5,1,1,1,1,1,1,1,1,1,1,1,5,5,7,7,7,1,1,1,1,1,1,1,1,1,1,1,8,7,7,2,1,2,3,1,2,11,1,1,2,2,1,1,2,2,"1 2 3",3,0,2,1
"55",1056,"Profutura EU",5,5,6,1,1,2,1,1,1,1,1,1,1,1,7,7,7,7,8,1,1,1,1,1,1,1,1,1,1,1,8,8,8,1,1,2,3,2,2,12,2,1,2,2,1,1,3,2,"19",19,0,1,1
"56",1057,"Profutura EU",7,8,8,2,1,2,2,1,1,1,2,2,1,1,8,7,5,7,7,1,1,2,1,1,1,1,1,1,2,1,4,5,5,1,1,2,1,1,2,10,2,1,3,3,1,2,2,1,"1",1,0,2,2
"57",1058,"Profutura EU",9,9,9,1,1,2,1,1,1,1,1,1,1,1,9,8,8,9,9,1,1,1,2,1,1,1,1,1,1,1,8,9,8,1,1,2,3,1,1,5,2,1,1,1,2,2,0,1,"15",15,0,2,2
"58",1059,"Profutura EU",6,6,6,1,1,1,1,1,1,1,1,1,1,1,7,6,6,7,6,1,1,1,1,1,1,1,1,1,1,1,8,8,8,2,1,2,4,2,2,6,1,1,1,1,0,1,3,2,"16",16,0,1,1
"59",1060,"Profutura EU",9,9,3,1,1,2,1,2,1,2,2,1,1,1,7,6,5,3,2,1,1,1,2,2,1,1,1,1,1,2,4,4,5,1,1,2,4,1,2,9,1,1,1,1,2,2,0,2,"15",15,0,2,2
"60",1061,"Profutura EU",8,7,5,2,2,1,2,2,1,2,1,2,2,1,8,6,6,7,5,1,1,1,2,2,2,2,2,1,2,1,6,5,6,1,1,1,2,1,1,5,1,2,3,3,2,2,0,1,"15",15,0,1,2
"61",1062,"Profutura EU",8,6,3,2,2,1,2,2,2,2,1,2,2,1,7,6,5,2,2,2,2,2,2,2,2,1,2,2,2,2,5,4,3,1,1,2,3,2,2,11,1,1,3,3,2,2,0,1,"19",19,0,2,1
"62",1063,"Profutura EU",10,10,10,1,1,2,2,1,1,2,2,2,1,1,10,9,10,10,8,1,1,1,2,1,1,2,1,1,1,1,10,10,10,1,1,2,2,1,2,4,1,1,1,1,2,2,0,2,"15",15,0,2,2
"63",1064,"Profutura EU",8,8,8,1,1,2,2,1,1,1,2,2,1,1,8,8,9,5,8,1,1,1,2,1,1,1,2,1,1,1,8,8,8,1,1,1,2,1,1,5,1,2,3,3,2,2,0,1,"2",2,0,1,1
"64",1065,"Profutura EU",8,10,10,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,9,9,9,1,1,2,4,2,2,6,1,1,1,1,1,1,4,1,"19",19,0,2,1
"65",1066,"Profutura EU",7,8,8,1,1,2,2,1,1,1,1,1,1,1,8,7,8,7,8,1,1,1,2,1,1,1,1,1,1,1,8,7,7,2,1,2,2,1,1,5,1,1,1,1,2,2,0,1,"3",3,0,2,2
"66",1067,"Profutura EU",5,5,5,1,1,2,2,2,2,2,2,2,2,2,4,5,5,5,4,1,1,2,1,2,1,2,2,2,1,2,4,5,4,1,1,1,3,1,1,8,1,2,1,1,2,2,0,1,"2",2,0,1,1
"67",1068,"Profutura EU",6,8,4,1,1,2,2,1,1,2,1,2,1,1,7,6,7,5,7,1,1,1,1,1,1,2,2,1,1,1,7,6,7,1,1,2,3,1,1,12,1,1,1,1,0,1,4,1,"1",1,0,3,2
"68",1069,"Profutura EU",8,8,7,1,1,2,1,1,1,1,2,1,2,1,7,7,7,7,7,1,1,2,2,1,1,1,1,1,1,2,4,5,8,1,1,1,3,2,1,4,1,2,3,3,2,2,0,2,"19",19,0,1,1
"69",1070,"Profutura EU",9,9,9,1,1,2,1,1,1,1,1,1,1,1,9,8,8,8,8,1,1,1,1,1,1,1,1,1,1,2,8,8,8,1,1,2,2,1,2,10,1,1,3,3,1,1,2,1,"15",15,0,1,2
"70",1071,"Profutura EU",6,4,3,1,2,1,1,2,2,2,1,2,1,2,6,7,6,5,4,1,1,2,2,2,1,2,1,1,1,1,5,5,6,1,1,2,3,2,2,8,2,1,2,2,2,2,0,2,"19",19,0,2,1
"71",1072,"Profutura EU",8,8,6,1,1,1,1,1,1,1,1,1,1,1,7,8,6,6,6,1,1,1,1,1,1,1,1,1,1,1,6,8,8,2,1,1,4,1,2,11,1,2,3,3,2,2,0,1,"3",3,0,1,1
"72",1073,"Profutura EU",5,5,5,1,1,2,1,1,1,1,1,2,1,1,5,5,5,5,3,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,1,2,4,2,2,11,1,1,1,1,1,2,1,1,"19",19,0,4,2
"73",1074,"Profutura EU",8,7,7,1,1,2,1,1,1,1,1,2,1,1,7,7,7,5,5,1,1,1,1,2,2,1,2,1,1,1,7,7,7,1,1,2,3,2,1,6,2,1,1,1,2,2,0,1,"19",19,0,4,2
"74",1076,"Profutura EU",9,8,8,1,1,2,2,1,1,1,2,2,1,1,8,8,8,8,8,1,1,1,1,1,1,1,2,1,1,1,8,8,8,1,1,1,1,2,1,5,1,2,1,1,2,2,0,2,"19",19,0,4,1
"75",1077,"Profutura EU",4,1,1,1,1,1,1,2,2,2,2,1,2,1,4,7,5,6,5,1,1,1,2,1,1,1,2,1,1,1,1,4,5,1,1,2,4,1,2,6,1,1,3,3,2,2,0,2,"2",2,0,4,2
"76",1079,"Profutura EU",7,5,3,1,1,2,1,2,2,1,1,2,1,1,6,5,6,3,7,1,1,2,1,2,1,1,2,1,1,1,7,3,5,1,1,1,2,1,2,12,2,2,2,2,2,2,0,2,"2",2,0,1,1
"77",1080,"Profutura EU",9,9,10,1,1,2,2,1,1,1,2,2,1,1,8,6,7,9,4,1,1,1,2,2,1,2,2,1,1,1,8,7,5,2,1,2,1,1,1,7,1,1,1,1,2,2,0,1,"3",3,0,3,2
"78",1081,"Profutura EU",8,8,8,1,2,1,1,2,2,1,2,1,1,1,5,8,8,8,8,1,1,1,2,2,2,1,1,2,1,1,8,8,8,1,1,1,4,1,2,4,1,2,1,1,2,2,0,1,"15",15,0,1,1
"79",1082,"Profutura EU",6,6,6,1,1,2,2,1,1,1,1,1,2,1,6,7,5,3,8,1,1,1,2,2,2,1,1,1,1,2,5,5,6,1,1,1,3,1,2,3,2,2,1,1,2,2,0,1,"15",15,0,1,1
"80",1083,"Profutura EU",8,9,6,1,1,1,1,1,1,1,2,2,1,1,8,8,8,8,8,1,1,1,2,1,1,1,1,1,1,2,9,9,10,1,1,2,3,1,1,6,1,1,1,1,1,2,4,1,"1 15",15,0,2,2
"81",1084,"Profutura EU",8,7,7,1,1,1,1,1,1,1,1,1,1,2,7,7,8,7,7,1,1,1,2,1,1,2,1,1,1,1,6,7,7,1,1,1,1,2,1,6,1,2,1,1,2,2,0,1,"19",19,0,2,1
"82",1085,"Profutura EU",7,5,1,1,1,2,1,2,2,2,2,1,1,1,4,7,6,1,1,1,1,2,1,1,1,1,1,1,1,1,9,1,1,1,1,1,2,2,1,6,1,2,3,3,2,2,0,2,"19",19,0,1,2
"83",1086,"Profutura EU",8,8,8,1,1,2,2,1,1,1,1,1,1,1,7,8,9,7,9,1,1,1,1,1,1,1,1,1,1,2,9,8,9,1,1,2,3,2,1,4,2,1,1,1,2,2,0,1,"19",19,0,3,1
"84",1087,"Profutura EU",8,9,9,1,1,1,1,1,1,1,2,2,1,1,10,10,10,9,8,1,1,1,1,1,1,1,2,1,1,2,10,10,10,2,1,2,4,1,2,12,1,1,3,3,1,1,3,2,"1 3 19",3,0,1,1
"85",1088,"Profutura EU",8,8,8,1,1,2,2,2,1,2,2,2,1,1,8,8,7,6,7,1,1,1,2,2,1,1,2,1,1,1,6,6,6,1,1,1,2,2,1,5,1,2,3,3,2,2,0,1,"19",19,0,1,2
"86",1092,"Profutura EU",7,7,7,1,2,1,1,1,2,1,2,2,1,2,5,3,4,3,1,1,1,1,2,2,2,1,2,1,1,1,4,4,3,1,1,1,3,1,1,7,2,2,1,1,2,2,0,2,"2",2,0,2,1
"87",1093,"Profutura EU",9,10,3,1,1,2,1,1,2,2,1,1,1,1,8,7,8,3,6,1,1,1,2,2,1,2,1,1,1,1,7,3,5,1,1,2,4,1,2,5,2,1,1,1,2,2,0,2,"15",15,0,3,1
"88",1094,"Profutura EU",8,8,4,1,1,1,1,1,1,1,2,1,1,1,7,7,7,5,4,1,1,1,2,2,1,2,1,1,1,1,6,6,6,1,1,2,4,2,2,10,2,1,1,1,2,2,0,2,"19",19,0,2,1
"89",1095,"Profutura EU",4,4,5,1,1,1,2,1,1,2,1,2,1,1,4,3,4,5,4,1,1,1,2,1,1,1,1,2,1,2,4,5,4,1,1,1,1,1,1,6,2,2,2,2,2,2,0,1,"15",15,0,4,2
"90",1096,"Profutura EU",10,7,4,1,1,2,2,1,1,1,2,2,1,1,6,10,8,1,4,1,1,1,2,2,1,2,2,1,1,1,9,1,5,1,1,1,1,1,2,9,2,2,1,1,1,2,3,2,"1",1,0,1,2
"91",1097,"Profutura EU",6,6,6,1,1,1,1,1,2,1,2,1,2,1,5,5,5,6,5,1,1,1,1,1,1,1,1,1,1,2,6,5,7,1,1,1,1,1,1,11,1,2,2,2,1,2,2,2,"15",15,0,2,2
"92",1098,"Profutura EU",5,6,7,1,1,2,1,1,1,2,2,1,1,1,8,8,7,7,5,1,1,1,2,2,1,2,2,2,2,1,6,7,6,2,1,1,1,2,1,4,2,2,1,1,2,2,0,1,"16",16,0,1,2
"93",1099,"Profutura EU",5,5,5,1,1,2,2,2,1,1,1,1,1,1,5,5,5,3,1,1,2,2,1,2,2,2,2,2,1,1,1,1,2,1,1,1,2,2,1,3,1,2,1,1,2,2,0,1,"19",19,0,1,2
"94",1100,"Profutura EU",7,7,6,1,1,2,1,2,1,1,2,2,1,1,7,6,5,4,6,1,1,1,2,2,1,1,2,1,1,1,7,6,6,1,1,1,2,2,1,12,2,2,2,2,2,2,0,1,"19",19,0,1,1
"95",1101,"Profutura EU",6,7,5,1,2,2,1,1,2,2,2,2,2,2,5,5,5,6,6,2,2,2,1,2,1,1,2,1,2,2,4,3,5,1,1,2,1,1,1,9,1,1,1,1,2,2,0,1,"1",1,0,4,2
"96",1102,"Profutura EU",6,7,5,2,2,2,1,1,2,1,2,1,1,1,7,7,5,7,2,1,2,2,1,2,1,1,2,1,1,1,6,6,5,1,1,1,1,2,1,5,1,2,3,3,2,2,0,1,"19",19,0,1,2
"97",1103,"Profutura EU",6,6,6,1,1,1,1,1,2,2,2,2,1,1,5,6,6,8,8,1,1,1,2,1,1,1,1,1,1,2,6,8,8,1,1,1,4,2,1,11,1,2,3,3,2,2,0,2,"19",19,0,1,2
"98",1104,"Profutura EU",5,5,5,1,2,2,1,2,2,1,2,2,1,1,7,6,6,4,5,1,1,2,2,1,1,1,2,1,1,1,7,5,7,1,1,2,4,1,1,10,1,1,1,1,2,2,0,2,"15",15,0,2,1
"99",1105,"Profutura EU",7,6,7,1,1,2,1,1,1,1,1,1,1,1,7,7,7,7,6,1,2,2,2,2,2,1,1,1,1,1,7,6,6,1,1,2,1,2,1,11,2,1,1,1,2,2,0,2,"19",19,0,2,1
"100",1106,"Profutura EU",6,5,3,1,1,2,2,1,1,2,2,2,1,1,5,6,5,5,4,1,1,1,1,1,1,2,2,1,1,2,6,6,6,1,1,2,4,1,2,11,2,1,1,1,2,2,0,1,"15",15,0,1,1
"101",1107,"Profutura EU",5,5,5,2,2,1,1,2,2,2,2,2,2,2,3,4,6,7,7,1,1,1,2,2,1,1,2,1,1,1,5,6,8,1,1,1,2,2,2,12,2,2,1,1,2,2,0,1,"19",19,0,1,2
"102",1108,"Profutura EU",8,10,2,1,1,2,2,1,2,2,2,1,1,1,6,1,5,4,9,1,1,1,2,2,1,1,1,1,1,2,8,6,7,2,1,1,4,1,2,2,1,2,2,2,1,2,2,2,"3",3,0,1,1
"103",1109,"Profutura EU",6,6,8,1,2,1,1,2,1,1,1,2,1,2,7,8,8,3,2,1,1,2,1,1,1,2,2,1,1,1,8,5,8,1,1,2,3,2,1,7,2,1,2,1,2,2,0,1,"19",19,0,2,2
